Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
71,2766614119,vicegolf22,0,105.75,P Lance McCullers Jr. P Matt Manning SS Tim Anderson OF Yordan Alvarez 2B Jose Altuve 1B José Abreu 3B Yoán Moncada OF Kyle Tucker OF Adam Engel C Zack Collins,,J.D. Martinez,OF,3.37%,21
73,2766591610,Jonnyrose,0,105.5,P Lance McCullers Jr. P Robbie Ray 3B DJ LeMahieu C Gary Sánchez 1B Josh Bell OF Max Kepler 2B Rougned Odor SS Gleyber Torres OF Akil Baddoo OF Brett Gardner,,Randal Grichuk,OF,3.37%,0
74,2766558944,thepickler,0,105.45,P Adam Wainwright P Matt Manning 1B Rhys Hoskins OF Nelson Cruz OF Bryce Harper C J.T. Realmuto 3B Josh Donaldson OF Max Kepler SS Didi Gregorius 2B Brad Miller,,Leury García,2B,3.19%,5
75,2766266354,misterpost,0,105.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Bryce Harper C J.T. Realmuto 2B Kiké Hernández OF Adam Engel OF Hunter Renfroe 3B Josh Harrison 1B Danny Santana,,Logan Webb,P,3.01%,13.65
75,2766557166,Bigsack33,0,105.4,P Lance McCullers Jr. P Adam Wainwright OF Joey Gallo SS Xander Bogaerts OF J.D. Martinez 1B Nate Lowe 2B Kiké Hernández OF Hunter Renfroe C Christian Vázquez 3B Brock Holt,,Jeimer Candelario,3B,3.01%,7
77,2766338729,player_01,0,105.2,P Julio Urías P Dylan Cease 1B Vladimir Guerrero Jr. OF Bryce Harper SS Didi Gregorius 3B Cavan Biggio 2B Jean Segura OF Akil Baddoo C Danny Jansen OF Brad Miller,,Estevan Florial,OF,3.01%,12
78,2766303401,bennyniels,0,105.05,P Erick Fedde P Jordan Lyles 1B Vladimir Guerrero Jr. SS Bo Bichette OF George Springer OF Giancarlo Stanton C Gary Sánchez 2B Rougned Odor 3B Cavan Biggio OF Dylan Carlson,,Starling Marte,OF,2.84%,7
79,2766565032,Aggie08,0,104.7,P Lance McCullers Jr. P Dylan Cease 2B Jose Altuve 1B Yuli Gurriel SS Miguel Rojas 3B Patrick Wisdom OF Kyle Tucker OF Kiké Hernández C Yadier Molina OF Josh Harrison,,Max Kepler,OF,2.84%,21
80,2765980912,WebbTy,0,104.4,P Lance McCullers Jr. P Adam Wainwright OF Juan Soto OF Giancarlo Stanton 3B Yoán Moncada C Gary Sánchez 2B Rougned Odor SS Gleyber Torres 1B Danny Santana OF Estevan Florial,,Harold Castro,SS,2.84%,8
80,2765990177,healybj19,0,104.4,P Adam Wainwright P Dylan Cease SS Tim Anderson 2B Jose Altuve 1B José Abreu 3B Yoán Moncada OF Michael Brantley OF Adam Engel C Martín Maldonado OF Andrew Vaughn,,David Dahl,OF,2.66%,7
80,2766359458,angtank,0,104.4,P Lance McCullers Jr. P Adam Wainwright 1B Jonathan Schoop C Gary Sánchez 3B Wilmer Flores OF Kyle Tucker SS Gleyber Torres OF Michael Brantley OF Akil Baddoo 2B Alcides Escobar,,Adam Duvall,OF,2.48%,3
80,2766472229,E1OCHOA,0,104.4,P Lance McCullers Jr. P Adam Wainwright 1B Vladimir Guerrero Jr. OF Randal Grichuk OF Teoscar Hernández 3B Cavan Biggio 2B Jean Segura OF Andrew McCutchen C Danny Jansen SS Ronald Torreyes,,Andrew Stevenson,OF,2.30%,9
84,2766407153,mpsox46,0,104.35,P Lance McCullers Jr. P Erick Fedde 1B Rhys Hoskins OF Bryce Harper 3B Jeimer Candelario SS Didi Gregorius OF Robbie Grossman 2B Jean Segura OF Akil Baddoo C Grayson Greiner,,Asher Wojciechowski,P,2.30%,8.8
85,2766587849,mattpoletti,0,103.9,P Julio Urías P Adam Wainwright OF Yordan Alvarez C J.T. Realmuto 3B Yoán Moncada 1B Yuli Gurriel 2B Rougned Odor SS Gleyber Torres OF Andrew Vaughn OF David Dahl,,Cody Bellinger,OF,2.13%,2
85,2766613924,ageese,0,103.9,P Julio Urías P Adam Wainwright SS Xander Bogaerts OF Cody Bellinger 1B Yuli Gurriel OF Kyle Tucker 2B Kiké Hernández 3B Abraham Toro OF Hunter Renfroe C Christian Vázquez,,Eli White,2B,2.13%,2
87,2766593913,MSmith0818,0,103.75,P Lance McCullers Jr. P Matt Manning 1B Vladimir Guerrero Jr. 2B Marcus Semien SS Bo Bichette OF George Springer 3B Yoán Moncada OF Teoscar Hernández C Zack Collins OF Andrew Vaughn,,Billy Hamilton,OF,2.13%,15
88,2766342683,ThePsyches,0,103.7,P Lance McCullers Jr. P Dylan Cease SS Tim Anderson OF Yordan Alvarez 2B Jose Altuve 3B Yoán Moncada C Gary Sánchez 1B Bobby Dalbec OF Billy Hamilton OF Myles Straw,,Anthony Rizzo,1B,2.13%,0
88,2766481428,USCkv,0,103.7,P Lance McCullers Jr. P Dylan Cease OF Bryce Harper C J.T. Realmuto SS Xander Bogaerts OF J.D. Martinez 2B Kiké Hernández OF Hunter Renfroe 3B Josh Harrison 1B Danny Santana,,Myles Straw,OF,2.13%,3
88,2766516950,dward4,0,103.7,P Lance McCullers Jr. P Dylan Cease 1B Vladimir Guerrero Jr. OF George Springer OF Teoscar Hernández SS Didi Gregorius 3B Cavan Biggio OF Akil Baddoo C Danny Jansen 2B Brad Miller,,Tyler O'Neill,OF,2.13%,6
91,2765828147,tahoestarkey,0,103.5,P Logan Webb P Dylan Cease OF Juan Soto OF Bryce Harper 3B Yoán Moncada OF Max Kepler SS Didi Gregorius 2B Kiké Hernández C Curt Casali 1B Danny Santana,,Rafael Devers,3B,1.95%,16
91,2766596421,palumnuts,0,103.5,P Lance McCullers Jr. P Robbie Ray 2B Jose Altuve OF George Springer C Gary Sánchez 1B Anthony Rizzo SS Gleyber Torres 3B Abraham Toro OF Greg Allen OF Estevan Florial,,Travis Jankowski,OF,1.95%,0
93,2765927704,smh810,0,103.4,P Lance McCullers Jr. P Jordan Lyles 1B Vladimir Guerrero Jr. SS Bo Bichette OF George Springer OF Teoscar Hernández OF Lourdes Gurriel Jr. 2B Jean Segura 3B Abraham Toro C Martín Maldonado,,Will Smith,C,1.77%,2
93,2766329925,NYGFan56,0,103.4,P Lance McCullers Jr. P Adam Wainwright 2B Jose Altuve SS Carlos Correa 1B Yuli Gurriel OF Kyle Tucker OF Robbie Grossman 3B Abraham Toro OF Akil Baddoo C Grayson Greiner,,Ian Happ,OF,1.77%,0
93,2766513887,underdogz2K15,0,103.4,P Adam Wainwright P Dylan Cease SS Tim Anderson 2B Jose Altuve 3B Yoán Moncada 1B Yuli Gurriel OF Kyle Tucker OF Michael Brantley OF Adam Engel C Grayson Greiner,,Curt Casali,C,1.60%,4
93,2766592823,land_of_the_lock,0,103.4,P Lance McCullers Jr. P Adam Wainwright OF Juan Soto OF Bryce Harper 3B DJ LeMahieu SS Gleyber Torres 2B Jean Segura OF Andrew McCutchen C Danny Jansen 1B Danny Santana,,Michael Chavis,2B,1.60%,14
97,2766517344,SENOB,0,103.2,P Julio Urías P Dylan Cease OF Bryce Harper 1B Jonathan Schoop OF George Springer SS Miguel Rojas OF Robbie Grossman 2B Kiké Hernández 3B Joe Panik C Grayson Greiner,,Dylan Carlson,OF,1.60%,9
98,2766453772,bigjerk18,0,103.15,P Robbie Ray P Erick Fedde 1B Vladimir Guerrero Jr. OF Juan Soto OF Teoscar Hernández SS Didi Gregorius 3B Cavan Biggio 2B Jean Segura OF Andrew McCutchen C Tres Barrera,,Nelson Cruz,OF,1.60%,9
99,2765922750,supremexjp,0,102.7,P Lance McCullers Jr. P Dylan Cease 1B Vladimir Guerrero Jr. SS Tim Anderson C Gary Sánchez 2B Leury García OF Akil Baddoo OF Adam Engel OF Andrew Vaughn 3B Jake Burger,,Josh Donaldson,3B,1.60%,7
